@relation emocion

@attribute noun {yes,no}
@attribute prepositional {yes,no}
@attribute CoordinatingConjunction {yes,no}
@attribute SubordinatingConjunction {yes,no}
@attribute ConjuntiveAdverbs {yes,no}
@attribute verbPositive real
@attribute verbNegative real
@attribute adjetivePositive real
@attribute adjetiveNegative real
@attribute numPalabras real
@attribute puntiacion {yes,no}
@attribute resul {neutro,positivo,negativo}

@data
yes,yes,no,no,no,0,0,0,0,37,yes,? 
yes,yes,no,no,no,0,0,1,0,29,yes,? 
yes,yes,no,no,no,0,2,0,0,30,yes,? 
yes,yes,no,no,no,0,0,0,1,30,yes,? 
yes,yes,no,yes,no,0,1,0,0,23,yes,? 
yes,yes,no,no,no,0,0,0,0,14,yes,? 
yes,yes,no,no,no,0,0,0,0,13,yes,? 
yes,yes,no,no,no,0,0,0,0,19,yes,? 
yes,yes,no,no,no,0,0,0,0,29,yes,? 
yes,yes,no,no,no,0,2,0,0,33,yes,? 
yes,yes,no,no,no,0,0,0,0,9,yes,? 
yes,yes,no,no,no,0,0,0,0,12,yes,? 
yes,yes,no,no,no,0,2,0,0,11,yes,? 
yes,yes,no,yes,no,0,3,0,0,63,yes,? 
yes,yes,no,no,no,0,2,1,0,50,yes,? 
yes,yes,no,no,no,0,1,0,0,32,yes,? 
yes,yes,no,no,no,0,0,0,0,24,yes,? 
yes,yes,no,no,no,0,1,0,0,39,yes,? 
yes,yes,no,yes,no,0,2,0,0,32,yes,? 
yes,yes,no,no,no,0,0,0,0,28,yes,? 
yes,yes,no,no,no,0,2,0,0,26,yes,? 
yes,yes,no,no,yes,0,0,0,0,12,yes,? 
yes,yes,no,no,no,0,0,0,0,34,yes,? 
yes,yes,no,no,no,0,0,0,0,28,yes,? 
yes,yes,no,no,no,0,1,0,0,35,yes,? 
yes,yes,no,yes,no,0,0,0,1,17,yes,? 
yes,yes,no,no,no,0,2,0,2,26,yes,? 
yes,yes,no,no,no,0,2,0,0,16,yes,? 
