@relation entrenar
@attribute noun {yes,no}
@attribute prepositional {yes,no}
@attribute CoordinatingConjunction {yes,no}
@attribute SubordinatingConjunction {yes,no}
@attribute ConjuntiveAdverbs {yes,no}
@attribute verbPositive real
@attribute verbNegative real
@attribute adjetivePositive real
@attribute adjetiveNegative real
@attribute numPalabras real
@attribute puntiacion {yes,no}
@attribute resul {neutro,positivo,negativo}
@data
yes,yes,no,no,no,0,0,0,0,33,yes,neutro
yes,yes,no,no,no,0,1,0,0,7,yes,neutro
yes,yes,no,no,no,0,1,1,0,32,yes,neutro
yes,yes,no,no,yes,0,0,0,0,8,yes,neutro
yes,yes,no,no,no,0,0,0,0,6,yes,neutro
yes,yes,no,no,no,0,0,0,0,18,yes,neutro
yes,yes,no,no,no,0,0,0,0,19,yes,neutro
yes,yes,no,no,no,0,1,0,0,22,yes,neutro
yes,yes,no,no,no,0,0,0,0,18,yes,neutro
yes,yes,no,no,no,0,0,0,0,10,yes,neutro
yes,yes,no,no,no,0,1,0,0,25,yes,neutro
yes,yes,no,no,no,0,0,0,0,8,yes,neutro
yes,yes,no,no,no,0,1,0,0,14,yes,neutro
yes,yes,no,no,no,0,1,0,0,9,yes,neutro
yes,yes,no,no,no,0,2,0,0,28,yes,neutro
yes,yes,no,no,no,0,1,0,0,21,yes,neutro
yes,yes,no,no,yes,0,1,0,0,31,yes,neutro
yes,yes,no,no,no,0,1,0,0,23,yes,neutro
yes,yes,no,no,no,0,1,0,0,16,yes,neutro
yes,no,no,no,no,0,1,0,0,7,yes,neutro
yes,yes,no,no,no,0,0,0,0,5,yes,neutro
yes,yes,no,no,no,0,0,0,0,12,yes,neutro
yes,yes,no,no,yes,0,0,0,0,26,yes,neutro
yes,yes,no,no,no,0,0,0,0,24,yes,neutro
yes,yes,no,no,no,0,2,0,0,42,yes,negativo
yes,yes,no,no,no,0,2,0,0,24,yes,neutro
yes,yes,no,no,no,0,0,0,0,15,yes,neutro
yes,yes,no,no,no,0,1,0,0,42,yes,neutro
yes,yes,no,no,yes,0,2,0,0,56,yes,negativo
yes,yes,no,yes,no,0,0,0,0,25,yes,neutro
yes,yes,no,yes,no,0,0,0,0,23,yes,neutro
yes,yes,no,no,no,0,0,0,0,62,yes,negativo
yes,yes,no,no,no,0,0,0,0,22,yes,neutro
yes,yes,no,no,no,0,0,0,0,11,yes,neutro
yes,yes,no,no,yes,0,2,0,0,70,yes,negativo
yes,yes,no,no,no,0,0,0,0,9,yes,neutro
yes,yes,no,no,no,0,0,1,0,37,yes,neutro
yes,yes,no,yes,no,0,0,0,0,20,yes,neutro
yes,yes,no,no,no,0,0,0,0,18,yes,neutro
yes,yes,no,yes,no,0,0,0,0,9,yes,neutro
yes,yes,no,no,no,0,0,0,0,12,yes,neutro
yes,yes,no,no,no,0,3,0,0,41,yes,negativo
yes,yes,no,no,no,0,3,1,0,40,yes,negativo
yes,yes,no,no,no,0,2,0,0,42,yes,negativo
yes,yes,no,no,no,0,0,0,1,64,yes,negativo
yes,yes,no,no,no,0,1,0,0,27,yes,neutro
yes,yes,no,no,no,0,0,0,0,15,yes,neutro
yes,yes,no,no,no,0,0,0,0,55,yes,neutro
yes,yes,no,no,no,0,0,0,0,42,yes,neutro
yes,yes,no,no,no,0,0,1,0,21,yes,neutro
yes,yes,no,no,no,0,0,0,0,29,yes,neutro
yes,no,no,no,yes,0,1,0,0,4,yes,neutro
yes,yes,no,no,no,0,0,0,1,9,yes,positivo
yes,yes,no,no,no,0,0,0,1,34,yes,positivo
yes,yes,no,no,no,0,4,1,0,24,yes,negativo
yes,yes,no,no,no,0,0,0,0,13,yes,neutro
yes,yes,no,no,no,0,0,0,0,12,yes,neutro
yes,yes,no,yes,no,0,0,0,0,20,yes,neutro
yes,yes,no,no,no,0,0,0,0,17,yes,neutro
yes,yes,no,no,no,0,2,0,0,83,yes,negativo
yes,yes,no,no,no,0,0,0,0,7,yes,neutro
yes,yes,no,yes,no,0,4,0,0,113,yes,negativo
yes,yes,no,no,no,0,0,0,0,13,yes,neutro
yes,yes,no,no,no,0,2,0,0,17,yes,neutro
yes,yes,no,yes,no,0,0,0,1,13,yes,positivo
yes,yes,no,no,no,0,1,0,0,14,yes,neutro
yes,yes,no,no,no,0,2,0,0,28,yes,neutro
yes,yes,no,no,no,0,0,1,0,13,yes,neutro
yes,yes,no,no,no,0,0,0,0,8,yes,neutro
yes,yes,no,no,no,0,1,0,0,9,yes,neutro
yes,yes,no,no,no,0,0,0,0,10,yes,neutro
yes,no,no,no,no,0,0,0,1,10,yes,neutro
yes,yes,no,no,no,0,0,0,0,13,yes,neutro
yes,yes,no,no,no,0,1,0,0,19,yes,neutro
yes,yes,no,no,no,0,0,0,0,9,yes,neutro
yes,yes,no,no,no,0,2,0,0,18,yes,neutro
yes,yes,no,no,no,0,0,0,0,10,yes,neutro
yes,yes,no,no,yes,0,1,0,0,17,yes,neutro
yes,yes,no,no,no,0,1,0,0,17,yes,neutro
yes,yes,no,no,no,0,0,0,0,23,yes,neutro
yes,yes,no,no,no,0,0,0,0,15,yes,neutro
yes,yes,no,no,no,0,0,1,1,39,yes,positivo
